study_id,citation_key,title,publication_year,doi_or_persistent_id,source_type,peer_reviewed,country_iso3,population_description,sample_size,age_min,age_max,study_design,domain_primary,domains_secondary,exposure_or_intervention,comparator,outcomes,setting,play_format,skill_level,data_sources,analysis_type,preregistered,open_data,open_code,funding_reported,conflict_of_interest_reported,inclusion_status,exclusion_reason,coder_id,coding_date,verification_status,notes
PBR-0001,forrester2019,Pickleball-Related Injuries Treated in Emergency Departments,2019,10.1016/j.jemermed.2019.09.016,journal_article,yes,USA,"Pickleball-related injury cases presenting to U.S. emergency departments, 2001-2017",300,50,NR,surveillance,injury_safety,aging_physical_function,Pickleball participation,NA,injury count; diagnosis; body region; disposition; temporal trend,emergency_department,NR,mixed,NEISS,descriptive; weighted national estimates,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Abstract-level seed coding; 300 unweighted cases identified; human/full-text verification pending.
PBR-0002,buzzelli2020,Examining the Motivation and Perceived Benefits of Pickleball Participation in Older Adults,2020,10.1123/japa.2018-0413,journal_article,yes,NR,Older adult pickleball participants recruited for survey,3012,NR,NR,cross_sectional,participation_behavior,psychology_wellbeing,Pickleball participation,NA,sport motivation; task/ego orientation; perceived recreational benefits,community,NR,recreational,questionnaire,descriptive; association analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Data-collection country not explicit in indexed abstract; coded NR rather than inferred from context.
PBR-0003,kim2020,Sport Participation and Happiness Among Older Adults: A Mediating Role of Social Capital,2020,10.1007/s10902-020-00288-8,journal_article,yes,NR,Pickleball participants aged 50-83 years,208,50,83,cross_sectional,social_connection,psychology_wellbeing|participation_behavior,Level of pickleball participation,NA,social capital; happiness,community,NR,recreational,questionnaire,mediation analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Data-collection country not explicit in abstract; coded NR rather than inferred from affiliations.
PBR-0004,vitale2020,Pickleball: Review and Clinical Recommendations for this Fast-growing Sport,2020,10.1249/jsr.0000000000000759,review,yes,NA,Published literature and clinical guidance on pickleball injuries,NR,NA,NA,narrative_review,injury_safety,physical_health_fitness,Pickleball participation,NA,common injuries; injury prevention; event coverage recommendations,clinical,NR,mixed,published_literature,narrative synthesis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Review article; study-level country and sample size not applicable.
PBR-0005,wray2021,Pickleball for Inactive Mid-Life and Older Adults in Rural Utah: A Feasibility Study,2021,10.3390/ijerph18168374,journal_article,yes,USA,Inactive mid-life and older adults in rural Utah,NR,NR,NR,quasi_experimental,physical_health_fitness,aging_physical_function|psychology_wellbeing|participation_behavior,6-week pickleball intervention,Pre-post within participants; no comparator reported in abstract,muscle function; cognitive function; pain; cardiometabolic risk; adherence; satisfaction,rural_community,NR,beginner_or_inactive,physical_tests|questionnaire|interview,pre-post feasibility analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Sample size not stated in indexed abstract; retain NR until full-text verification.
PBR-0006,weiss2021,"Non-fatal senior pickleball and tennis-related injuries treated in United States emergency departments, 2010-2019",2021,10.1186/s40621-021-00327-9,journal_article,yes,USA,Adults with primary focus on pickleball players aged 60+ presenting to U.S. emergency departments,NR,60,NR,surveillance,injury_safety,aging_physical_function,Pickleball participation,Tennis-related emergency department cases,injury frequency; diagnosis; mechanism; sex differences; temporal trend,emergency_department,NR,recreational,NEISS,descriptive; weighted estimates; comparative risk,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Abstract reports weighted national estimates but not the unweighted analytic sample for senior pickleball injuries.
PBR-0007,casper2021,"An examination of pickleball participation, social connections, and psychological well-being among seniors during the COVID-19 pandemic",2021,10.1080/16078055.2021.1957708,journal_article,yes,NR,Pickleball players aged over 65 years surveyed before and during the COVID-19 pandemic,36,65,NR,prospective_cohort,social_connection,psychology_wellbeing|participation_behavior,Change in pickleball participation during COVID-19,Within-person pre-pandemic versus during-pandemic assessment,social connections; physical health; mental health; loneliness; life satisfaction,community,NR,recreational,questionnaire,paired longitudinal comparison; association analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Data-collection country not explicit in indexed abstract.
PBR-0008,webber2022,Physical Activity Intensity of Singles and Doubles Pickleball in Older Adults,2022,10.1123/japa.2022-0194,journal_article,yes,NR,Recreational singles and doubles pickleball players; mean age 62.1 years,53,NR,NR,cross_sectional,physical_health_fitness,aging_physical_function|biomechanics_performance,Singles or doubles pickleball match play,Singles versus doubles,heart rate; activity intensity; steps per hour,court,mixed,recreational,heart_rate_monitor|accelerometer,descriptive; between-group comparison,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,22 singles and 31 doubles players; country not explicit in indexed abstract.
PBR-0009,cerezuela2023,Pickleball and mental health in adults: A systematic review,2023,10.3389/fpsyg.2023.1137047,review,yes,MULTI,Studies of pickleball and adult mental or psychological health,13,NA,NA,systematic_review,psychology_wellbeing,social_connection|aging_physical_function,Pickleball participation,NA,wellbeing; life satisfaction; depression; stress; happiness; mental health,mixed,NR,mixed,published_literature,systematic qualitative synthesis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,13 studies included; review search covered English and Spanish literature.
PBR-0010,heo2023,Maintaining Active Lifestyle Through Pickleball: A Qualitative Exploration of Older Pickleball Players,2023,10.1177/00914150231208012,journal_article,yes,USA,USA Pickleball ambassadors; older adults engaged in pickleball,15,NR,NR,qualitative,social_connection,aging_physical_function|participation_behavior|psychology_wellbeing,Sustained pickleball participation and ambassador experience,NA,active lifestyle; sociality; intergenerational participation; identity,community,NR,experienced,interview,interpretive thematic analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Purposive sample of 15 ambassadors; human/full-text verification pending.
